source_url,title,channel,source_type,expected_accent,expected_speaker_count,notes
https://www.youtube.com/channel/UCLlZfeVVoJLC4u5NOouoJ5Q,En Vilo #115 con Ta'crack,EN VILO,other,unknown,unknown,seed_from_youtube_search
https://www.youtube.com/channel/UCr94O0DXHFDH3k09s1P-xLw,VALE ACEVEDO En La Pileta De Blest - APÓSTROFE LIVE MUSIC SESSIONS,Apóstrofe,other,argentino/rioplatense_probable,unknown,seed_from_youtube_search
https://www.youtube.com/channel/UCTBfxr-ZxHJqjKbC5BCakHQ,La mejor camara para Streaming y podcast || GUIA 2025,Martin De Iuliis,podcast,argentino/rioplatense_probable,1-2,seed_from_youtube_search
https://www.youtube.com/channel/UCCbJg3zeQEMriDk45FQUCAw,La mejor webcam 4k BBB para streaming y creación de contenido? Emeet S600 vs Logitech c920,CaroKokoGG,streamer,unknown,1,seed_from_youtube_search
https://www.youtube.com/channel/UCnhql_o0yJZIClvsTuV_oMQ,Las 5 Mejores Webcams Para Streaming 2026 | Calidad-Precio en Mercado Libre,La Mejor Opción ,streamer,unknown,1,seed_from_youtube_search
https://www.youtube.com/channel/UCBzmoWPpXEGHeKj7TSET4Sg,🔴 Convierte  tu CELULAR en una 📱WEBCAM ► Y envía a OBS Studio 2024,"Luces, Cámara, Aprendo",streamer,unknown,1,seed_from_youtube_search
https://www.youtube.com/channel/UC0DM_mHV2u6dj8ig51GkQwg,"GUILLERMO FRANCELLA, UN LUJO COMO PRIMER INVITADO DE OTRO DÍA PERDIDO || ENTREVISTA COMPLETA",eltrece,interview,argentino/rioplatense_probable,1-2,seed_from_youtube_search
https://www.youtube.com/channel/UChxGASjdNEYHhVKpl667Huw,"Yo, la reina del boliche, por Mauro Szeta - Telefe Noticias",Telefe Noticias,interview,argentino/rioplatense_probable,1-2,seed_from_youtube_search
https://www.youtube.com/channel/UCvCTWHCbBC0b9UIeLeNs8ug,"Mario Pergolini con Pedro Aznar y David Lebón: Entrevista Completa - ""Uno"" | Vorterix",Vorterix,interview,argentino/rioplatense_probable,1-2,seed_from_youtube_search
https://www.youtube.com/channel/UCsT0YIqwnpJCM-mx7-gSA4Q,Hacer visible lo invisible | Elena Santa Cruz | TEDxUBA,TEDx Talks,other,argentino/rioplatense_probable,unknown,seed_from_youtube_search
https://www.youtube.com/channel/UCGxjDWAN1KwrkXYVi8CXtjQ,How to Show Up FIRST on YouTube Search,Think Media,podcast,argentino/rioplatense_probable,1-2,seed_from_youtube_search
https://www.youtube.com/channel/UCPkv1q7NuXBlC8LQQivbo2w,"González y el video viral: ""Jamás me reí de Clorinda""",Noticias Formosa,educational,unknown,1,seed_from_youtube_search
https://www.youtube.com/channel/UCiDf-cmHEkKZ4woo2Ny7JRQ,Entro a supermercados argentinos hablando CHINO (reacciones increíbles),Un Topo por el Mundo,other,argentino/rioplatense_probable,unknown,seed_from_youtube_search
https://www.youtube.com/channel/UCzj1iuImjo-Eb8JMELC1Jwg,“La primera estrella” retrata la hazaña uruguaya que cambió la visión sobre el fútbol rioplatense,En Perspectiva + VIDEO ,podcast,argentino/rioplatense_probable,1-2,seed_from_youtube_search
https://www.youtube.com/channel/UCLH4dyg0-T84kf1le42XyWw,¿Cómo es el ESPAÑOL ARGENTINO FORMAL? - Argento Podcast #44,Spanish with Nico,podcast,argentino/rioplatense_probable,1-2,seed_from_youtube_search
https://www.youtube.com/channel/UCK0mnvDJGSWCaFo2WZqfCrw,"Historia Argentina - Cap 1, 2, 3 y 4",tijobrae2,other,argentino/rioplatense_probable,unknown,seed_from_youtube_search
https://www.youtube.com/channel/UCa1g5mE0dX8gp0wbTfr89eA,Mi Revolución (Cuatro Pesos de Propina) con Karen Medina - Episodio 23,Omitir Intro - Podcast,podcast,unknown,1-2,seed_from_youtube_search
https://www.youtube.com/channel/UC9vs8KujZ2kJ2hbg01fNRVw,Coscu: “Somos pibes que la hicimos solos. No vino ni un empresario ni el más  picante” | Caja Negra,Filo News,interview,argentino/rioplatense_probable,1-2,seed_from_youtube_search
https://www.youtube.com/channel/UCvZ0P9-EmGz6SFUuFiZPXKw,"PREGUNTAS y RESPUESTAS con Nicolás Tagliafico, Leandro Paredes y Lautaro Martínez FT. DAVO y LACOBRA",Coscu,streamer,argentino/rioplatense_probable,1,seed_from_youtube_search
https://www.youtube.com/channel/UClUBHUYaOX3T3QASj_d5KBQ,Coscu Mete Un Bombazo Histórico Después De Probar Las Salsas Más Picantes Del Mundo,Terapia Picante,streamer,argentino/rioplatense_probable,1,seed_from_youtube_search
https://www.youtube.com/channel/UCunKpj3RZOlrp1jpETmScWg,Entrevista con ALBEREE Y GUARI,Martin Cirio,interview,argentino/rioplatense_probable,1-2,seed_from_youtube_search
